fecha,cita,resumen
2025-10-01," Lc 9,57-62","«Sígueme» Hoy, el Evangelio nos invita a reflexionar, con mucha claridad y no menor insistencia, sobre un punto central ..."
2025-10-02," Lc 10,1-12",«Rogad (...) al dueño de la mies que envíe obreros a su mies» Hoy Jesús nos habla de la misión apostólica. Aunque «desig...
2025-10-03," Lc 10,13-16","«Quien a vosotros os escucha, a mí me escucha» Hoy vemos a Jesús dirigir su mirada hacia aquellas ciudades de Galilea qu..."
2025-10-04," Lc 10,17-24","«Se llenó de gozo Jesús en el Espíritu Santo, y dijo: ‘Yo te bendigo, Padre, Señor del cielo y de la tierra’» Hoy, el ev..."
2025-10-05," Lc 17,5-10",«Somos siervos» Hoy se nos presenta un Evangelio con dos partes que parecen inconexas. ¿Qué tiene que ver la fe con el s...
2025-10-06," Lc 10,25-37","«¿Qué he de hacer para tener en herencia la vida eterna?» Hoy, el mensaje evangélico señala el camino de la vida: «Amará..."
2025-10-07," Lc 10,38-42","«Marta, Marta, te preocupas y te agitas por muchas cosas; y hay necesidad de pocas, o mejor, de una sola» Hoy, como cada..."
2025-10-08," Lc 11,1-4","«Señor, enséñanos a orar, como enseñó Juan a sus discípulos» Hoy vemos cómo uno de los discípulos le dice a Jesús: «Seño..."
2025-10-09," Lc 11,5-13","«El Padre del cielo dará el Espíritu Santo a los que se lo pidan» Hoy, el Evangelio es una catequesis de Jesús sobre la ..."
2025-10-10," Lc 11,15-26","«Algunos dijeron: 'Por Beelzebul, Príncipe de los demonios, expulsa los demonios'» Hoy contemplamos asombrados cómo Jesú..."
2025-10-11," Lc 11,27-28",«¡Dichoso el seno que te llevó y los pechos que te criaron!» Hoy escuchamos la mejor de las alabanzas que Jesús podía ha...
2025-10-12," Lc 17,11-19","«¡Jesús, Maestro, ten compasión de nosotros!» Hoy podemos comprobar, ¡una vez más!, cómo nuestra actitud de fe puede rem..."
2025-10-13," Lc 11,29-32","«Esta generación es una generación malvada; pide una señal» Hoy, la voz dulce —pero severa— de Cristo pone en guardia a ..."
2025-10-14," Lc 11,37-41","«Dad más bien en limosna lo que tenéis, y así todas las cosas serán puras para vosotros» Hoy, el evangelista sitúa a Jes..."
2025-10-15," Lc 11,42-46",«Esto es lo que había que practicar aunque sin omitir aquello» Hoy vemos cómo el Divino Maestro nos da algunas lecciones...
2025-10-16," Lc 11,47-54","«¡(...) edificáis los sepulcros de los profetas que vuestros padres mataron!» Hoy, se nos plantea el sentido, aceptación..."
2025-10-17," Lc 12,1-7",«No temáis; valéis más que muchos pajarillos» Hoy contemplamos a Nuestro Señor Jesucristo dirigiéndose a las gentes desp...
2025-10-18," Lc 10,1-9","«El Reino de Dios está cerca de vosotros» Hoy, en la fiesta de san Lucas —el Evangelista de la mansedumbre de Cristo—, l..."
2025-10-19," Lc 18,1-8","«Es preciso orar siempre sin desfallecer» Hoy, Jesús nos recuerda que «es preciso orar siempre sin desfallecer» (Lc 18,1..."
2025-10-20," Lc 12,13-21","«La vida de uno no está asegurada por sus bienes» Hoy, el Evangelio, si no nos tapamos los oídos y no cerramos los ojos,..."
2025-10-21," Lc 12,35-38",«Sed como hombres que esperan a que su señor vuelva de la boda» Hoy es preciso fijarse en estas palabras de Jesús: «Sed ...
2025-10-22," Lc 12,39-48","«Estad preparados, porque en el momento que no penséis, vendrá el Hijo del hombre» Hoy, con la lectura de este fragmento..."
2025-10-23," Lc 12,49-53","«He venido a prender fuego en el mundo» Hoy, el Evangelio nos presenta a Jesús como una persona de grandes deseos: «He v..."
2025-10-24," Lc 12,54-59","«¿Cómo no exploráis (...) este tiempo? ¿Por qué no juzgáis por vosotros mismos lo que es justo?» Hoy, Jesús quiere que l..."
2025-10-25," Lc 13,1-9","«Fue a buscar fruto (...) y no lo encontró» Hoy, las palabras de Jesús nos invitan a meditar sobre el inconveniente de l..."
2025-10-26," Lc 18,9-14",«¡Oh Dios! ¡Ten compasión de mí...» Hoy leemos con atención y novedad el Evangelio de san Lucas. Una parábola dirigida a...
2025-10-27," Lc 13,10-17","«Pero el jefe de la sinagoga, indignado de que Jesús hubiese hecho una curación en sábado...» Hoy, vemos a Jesús realiza..."
2025-10-28," Lc 6,12-19",«Jesús se fue al monte a orar» Hoy contemplamos un día entero de la vida de Jesús. Una vida que tiene dos claras vertien...
2025-10-29," Lc 13,22-30","«Luchad por entrar por la puerta estrecha» Hoy, camino de Jerusalén, Jesús se detiene un momento y alguien lo aprovecha ..."
2025-10-30," Lc 13,31-35","«¡Jerusalén, Jerusalén! (...) ¡Cuántas veces he querido reunir a tus hijos (...) y no habéis querido!» Hoy podemos admir..."
2025-10-31," Lc 14,1-6","«¿Es lícito curar en sábado, o no?» Hoy el Evangelio nos deja ver a Jesús: firme como buey, manso como asno. Está en cas..."
2025-11-01," Mt 5,1-12a",«Alegraos y regocijaos» Hoy celebramos la realidad de un misterio salvador expresado en el “credo” y que resulta muy con...
2025-11-02," Lc 23,33.39-43","«Jesús, acuérdate de mí cuando vengas con tu Reino» Hoy, el Evangelio evoca el hecho más fundamental del cristiano: la m..."
2025-11-03," Lc 14,12-14","«Cuando des un banquete, llama a los pobres, (...) porque no te pueden corresponder, pues se te recompensará en la resur..."
2025-11-04," Lc 14,15-24","«Sal a los caminos y cercas, y obliga a entrar hasta que se llene mi casa» Hoy, el Señor nos ofrece una imagen de la ete..."
2025-11-05," Lc 14,25-33",«Quien no lleve su cruz detrás de mí no puede ser discípulo mío» Hoy contemplamos a Jesús en camino hacia Jerusalén. All...
2025-11-06," Lc 15,1-10","«Habrá más alegría en el cielo por un solo pecador que se convierta» Hoy, el evangelista de la misericordia de Dios nos ..."
2025-11-07," Lc 16,1-8","«Los hijos de este mundo son más astutos (...) que los hijos de la luz» Hoy, el Evangelio nos presenta una cuestión sorp..."
2025-11-08," Lc 16,9-15","«El que es fiel en lo mínimo, lo es también en lo mucho» Hoy, Jesús habla de nuevo con autoridad: usa el «Yo os digo», q..."
2025-11-09," Lc 20,27-38","«No es un Dios de muertos, sino de vivos, porque para Él todos viven» Hoy, Jesús hace una clara afirmación de la resurre..."
2025-11-10," Lc 17,1-6","«Si peca contra ti siete veces al día (...), le perdonarás» Hoy, el Evangelio nos habla de tres temas importantes. En pr..."
2025-11-11," Lc 17,7-10","«Hemos hecho lo que debíamos hacer» Hoy, la atención del Evangelio no se dirige a la actitud del amo, sino a la de los s..."
2025-11-12," Lc 17,11-19","«Postrándose rostro en tierra a los pies de Jesús, le daba gracias» Hoy, Jesús pasa cerca de nosotros para hacernos vivi..."
2025-11-13," Lc 17,20-25","«El Reino de Dios ya está entre vosotros» Hoy, los fariseos preguntan a Jesús una cosa que ha interesado siempre con una..."
2025-11-14," Lc 17,26-37","«Comían, bebían, compraban, vendían, plantaban, construían» Hoy, en el texto del Evangelio son remarcados el final de lo..."
2025-11-15," Lc 18,1-8","«Es preciso orar siempre sin desfallecer» Hoy, en los últimos días del año litúrgico, Jesús nos exhorta a orar, a dirigi..."
2025-11-16," Lc 21,5-19","«Mirad, no os dejéis engañar» Hoy, el Evangelio nos habla de la última venida del Hijo del hombre. Se acerca el final de..."
2025-11-17," Lc 18,35-43","«Tu fe te ha salvado» Hoy, el ciego Bartimeo (cf. Mc 10,46) nos provee toda una lección de fe, manifestada con franca se..."
2025-11-18," Lc 19,1-10","«El Hijo del hombre ha venido a buscar y salvar lo que estaba perdido» Hoy, Zaqueo soy yo. Este personaje era rico y jef..."
2025-11-19," Lc 19,11-28","«Negociad hasta que vuelva» Hoy, el Evangelio nos propone la parábola de las minas: una cantidad de dinero que aquel nob..."
2025-11-20," Lc 19,41-44","«¡Si (...) tú conocieras en este día el mensaje de paz!» Hoy, la imagen que nos presenta el Evangelio es la de un Jesús ..."
2025-11-21," Lc 19,45-48","«Mi casa será casa de oración» Hoy, el gesto de Jesús es profético. A la manera de los antiguos profetas, realiza una ac..."
2025-11-22," Lc 20,27-40","«No es un Dios de muertos, sino de vivos, porque para Él todos viven» Hoy, la Palabra de Dios nos habla del tema capital..."
2025-11-23," Lc 23,35-43","«Éste es el Rey de los judíos» Hoy, el Evangelio nos hace elevar los ojos hacia la cruz donde Cristo agoniza en el Calva..."
2025-11-24," Lc 21,1-4","«Ha echado de lo que necesitaba, todo cuanto tenía para vivir» Hoy, como casi siempre, las cosas pequeñas pasan desaperc..."
2025-11-25," Lc 21,5-11","«No quedará piedra sobre piedra» Hoy escuchamos asombrados la severa advertencia del Señor: «Esto que veis, llegarán día..."
2025-11-26," Lc 21,12-19",«Con vuestra perseverancia salvaréis vuestras almas» Hoy ponemos atención en esta sentencia breve e incisiva de nuestro ...
2025-11-27," Lc 21,20-28","«Cobrad ánimo y levantad la cabeza porque se acerca vuestra liberación» Hoy al leer este santo Evangelio, ¿cómo no ver r..."
2025-11-28," Lc 21,29-33","«Cuando veáis que sucede esto, sabed que el Reino de Dios está cerca» Hoy somos invitados por Jesús a ver las señales qu..."
2025-11-29," Lc 21,34-36","«Estad en vela (...) orando en todo tiempo» Hoy, último día del tiempo ordinario, Jesús nos advierte con meridiana clari..."
